title,cast,crew
Avatar,"[{'cast_id': 242, 'character': 'Jake Sully', 'credit_id': '5602a8a7c3a3685532001c9a', 'gender': 2, 'id': 65731, 'name': 'Sam Worthington', 'order': 0}, {'cast_id': 3, 'character': 'Neytiri', 'credit_id': '52fe48009251416c750ac9cb', 'gender': 1, 'id': 8691, 'name': 'Zoe Saldana', 'order': 1}, {'cast_id': 25, 'character': 'Dr. Grace Augustine', 'credit_id': '52fe48009251416c750aca39', 'gender': 1, 'id': 10205, 'name': 'Sigourney Weaver', 'order': 2}]","[{'credit_id': '52fe48009251416c750aca23', 'department': 'Editing', 'gender': 0, 'id': 1721, 'job': 'Editor', 'name': 'Stephen E. Rivkin'}, {'credit_id': '539c47ecc3a36810e3001f87', 'department': 'Art', 'gender': 2, 'id': 496, 'job': 'Production Design', 'name': 'Rick Carter'}, {'credit_id': '54491c89c3a3680fb4001cf7', 'department': 'Sound', 'gender': 0, 'id': 900, 'job': 'Sound Designer', 'name': 'Christopher Boyes'}]"
Pirates of the Caribbean: At World's End,"[{'cast_id': 4, 'character': 'Captain Jack Sparrow', 'credit_id': '52fe4232c3a36847f800b50d', 'gender': 2, 'id': 85, 'name': 'Johnny Depp', 'order': 0}, {'cast_id': 5, 'character': 'Will Turner', 'credit_id': '52fe4232c3a36847f800b511', 'gender': 2, 'id': 114, 'name': 'Orlando Bloom', 'order': 1}, {'cast_id': 6, 'character': 'Elizabeth Swann', 'credit_id': '52fe4232c3a36847f800b515', 'gender': 1, 'id': 116, 'name': 'Keira Knightley', 'order': 2}]","[{'credit_id': '52fe4232c3a36847f800b579', 'department': 'Camera', 'gender': 2, 'id': 120, 'job': 'Director of Photography', 'name': 'Dariusz Wolski'}, {'credit_id': '52fe4232c3a36847f800b4fd', 'department': 'Directing', 'gender': 2, 'id': 1704, 'job': 'Director', 'name': 'Gore Verbinski'}, {'credit_id': '52fe4232c3a36847f800b54f', 'department': 'Production', 'gender': 2, 'id': 770, 'job': 'Producer', 'name': 'Jerry Bruckheimer'}]"
Spectre,"[{'cast_id': 1, 'character': 'James Bond', 'credit_id': '52fe4d22c3a368484e1d8d6b', 'gender': 2, 'id': 8784, 'name': 'Daniel Craig', 'order': 0}, {'cast_id': 14, 'character': 'Blofeld', 'credit_id': '54805866c3a36829ab002592', 'gender': 2, 'id': 27319, 'name': 'Christoph Waltz', 'order': 1}, {'cast_id': 13, 'character': 'Madeleine', 'credit_id': '546f934fc3a3682f9a002ca5', 'gender': 1, 'id': 121529, 'name': 'Léa Seydoux', 'order': 2}]","[{'credit_id': '54805967c3a36829b5002c41', 'department': 'Sound', 'gender': 2, 'id': 153, 'job': 'Original Music Composer', 'name': 'Thomas Newman'}, {'credit_id': '52fe4d22c3a368484e1d8d77', 'department': 'Directing', 'gender': 2, 'id': 39, 'job': 'Director', 'name': 'Sam Mendes'}, {'credit_id': '5677cd99925141691a005333', 'department': 'Art', 'gender': 1, 'id': 8384, 'job': 'Set Decoration', 'name': 'Anna Pinnock'}]"
The Dark Knight Rises,"[{'cast_id': 2, 'character': 'Bruce Wayne / Batman', 'credit_id': '52fe4781c3a36847f8139869', 'gender': 2, 'id': 3894, 'name': 'Christian Bale', 'order': 0}, {'cast_id': 8, 'character': 'Alfred Pennyworth', 'credit_id': '52fe4781c3a36847f8139881', 'gender': 2, 'id': 3895, 'name': 'Michael Caine', 'order': 1}, {'cast_id': 5, 'character': 'James Gordon', 'credit_id': '52fe4781c3a36847f8139875', 'gender': 2, 'id': 64, 'name': 'Gary Oldman', 'order': 2}]","[{'credit_id': '52fe4781c3a36847f81398c3', 'department': 'Sound', 'gender': 2, 'id': 947, 'job': 'Original Music Composer', 'name': 'Hans Zimmer'}, {'credit_id': '52fe4781c3a36847f8139899', 'department': 'Production', 'gender': 0, 'id': 282, 'job': 'Producer', 'name': 'Charles Roven'}, {'credit_id': '52fe4781c3a36847f813991b', 'department': 'Writing', 'gender': 2, 'id': 525, 'job': 'Screenplay', 'name': 'Christopher Nolan'}]"
John Carter,"[{'cast_id': 5, 'character': 'John Carter', 'credit_id': '52fe479ac3a36847f813ea75', 'gender': 2, 'id': 60900, 'name': 'Taylor Kitsch', 'order': 0}, {'cast_id': 20, 'character': 'Dejah Thoris', 'credit_id': '52fe479ac3a36847f813eab3', 'gender': 1, 'id': 21044, 'name': 'Lynn Collins', 'order': 1}, {'cast_id': 7, 'character': 'Sola', 'credit_id': '52fe479ac3a36847f813ea79', 'gender': 1, 'id': 2206, 'name': 'Samantha Morton', 'order': 2}]","[{'credit_id': '52fe479ac3a36847f813eaa3', 'department': 'Writing', 'gender': 2, 'id': 7, 'job': 'Screenplay', 'name': 'Andrew Stanton'}, {'credit_id': '52fe479ac3a36847f813ea65', 'department': 'Directing', 'gender': 2, 'id': 7, 'job': 'Director', 'name': 'Andrew Stanton'}, {'credit_id': '58c69e819251411d30017673', 'department': 'Crew', 'gender': 2, 'id': 7879, 'job': 'Thanks', 'name': 'John Lasseter'}]"
Spider-Man 3,"[{'cast_id': 30, 'character': 'Peter Parker / Spider-Man', 'credit_id': '52fe4252c3a36847f80151c7', 'gender': 2, 'id': 2219, 'name': 'Tobey Maguire', 'order': 0}, {'cast_id': 7, 'character': 'Mary Jane Watson', 'credit_id': '52fe4252c3a36847f801514f', 'gender': 1, 'id': 205, 'name': 'Kirsten Dunst', 'order': 1}, {'cast_id': 35, 'character': 'Harry Osborn / New Goblin', 'credit_id': '52fe4252c3a36847f80151db', 'gender': 2, 'id': 17051, 'name': 'James Franco', 'order': 2}]","[{'credit_id': '52fe4252c3a36847f80151a5', 'department': 'Production', 'gender': 1, 'id': 6410, 'job': 'Casting', 'name': 'Francine Maisler'}, {'credit_id': '52fe4252c3a36847f801517b', 'department': 'Production', 'gender': 0, 'id': 10570, 'job': 'Executive Producer', 'name': 'Joseph M. Caracciolo Jr.'}, {'credit_id': '58d1820cc3a36838d500c706', 'department': 'Writing', 'gender': 2, 'id': 7623, 'job': 'Screenplay', 'name': 'Sam Raimi'}]"
Tangled,"[{'cast_id': 34, 'character': 'Flynn Rider (voice)', 'credit_id': '530d35bf9251411435001765', 'gender': 2, 'id': 69899, 'name': 'Zachary Levi', 'order': 0}, {'cast_id': 33, 'character': 'Rapunzel (voice)', 'credit_id': '530d35a2925141141e0017ff', 'gender': 1, 'id': 16855, 'name': 'Mandy Moore', 'order': 1}, {'cast_id': 35, 'character': 'Mother Gothel (voice)', 'credit_id': '530d35d4925141141e001802', 'gender': 1, 'id': 2517, 'name': 'Donna Murphy', 'order': 2}]","[{'credit_id': '52fe46db9251416c91062101', 'department': 'Production', 'gender': 2, 'id': 7879, 'job': 'Executive Producer', 'name': 'John Lasseter'}, {'credit_id': '52fe46db9251416c910620e3', 'department': 'Writing', 'gender': 2, 'id': 38748, 'job': 'Novel', 'name': 'Jacob Grimm'}, {'credit_id': '52fe46db9251416c910620dd', 'department': 'Writing', 'gender': 2, 'id': 5448, 'job': 'Novel', 'name': 'Wilhelm Grimm'}]"
Avengers: Age of Ultron,"[{'cast_id': 76, 'character': 'Tony Stark / Iron Man', 'credit_id': '55e256d292514162cd000e40', 'gender': 2, 'id': 3223, 'name': 'Robert Downey Jr.', 'order': 0}, {'cast_id': 8, 'character': 'Thor Odinson', 'credit_id': '52fe4a449251416c750e3455', 'gender': 2, 'id': 74568, 'name': 'Chris Hemsworth', 'order': 1}, {'cast_id': 15, 'character': 'Bruce Banner / Hulk', 'credit_id': '52fe4a449251416c750e3471', 'gender': 2, 'id': 103, 'name': 'Mark Ruffalo', 'order': 2}]","[{'credit_id': '55d5f7d4c3a3683e7e0016eb', 'department': 'Sound', 'gender': 2, 'id': 531, 'job': 'Original Music Composer', 'name': 'Danny Elfman'}, {'credit_id': '55f7d48892514103b60074ad', 'department': 'Sound', 'gender': 0, 'id': 900, 'job': 'Supervising Sound Editor', 'name': 'Christopher Boyes'}, {'credit_id': '55f7d30d9251416d96004fd1', 'department': 'Sound', 'gender': 0, 'id': 900, 'job': 'Sound Re-Recording Mixer', 'name': 'Christopher Boyes'}]"
Harry Potter and the Half-Blood Prince,"[{'cast_id': 3, 'character': 'Harry Potter', 'credit_id': '52fe4273c3a36847f801fa73', 'gender': 2, 'id': 10980, 'name': 'Daniel Radcliffe', 'order': 0}, {'cast_id': 2, 'character': 'Ron Weasley', 'credit_id': '52fe4273c3a36847f801fa6f', 'gender': 2, 'id': 10989, 'name': 'Rupert Grint', 'order': 1}, {'cast_id': 1, 'character': 'Hermione Granger', 'credit_id': '52fe4273c3a36847f801fa6b', 'gender': 1, 'id': 10990, 'name': 'Emma Watson', 'order': 2}]","[{'credit_id': '52fe4273c3a36847f801fab1', 'department': 'Camera', 'gender': 0, 'id': 2423, 'job': 'Director of Photography', 'name': 'Bruno Delbonnel'}, {'credit_id': '52fe4273c3a36847f801faf3', 'department': 'Art', 'gender': 1, 'id': 5331, 'job': 'Set Decoration', 'name': 'Stephanie McMillan'}, {'credit_id': '52fe4273c3a36847f801fac3', 'department': 'Art', 'gender': 2, 'id': 5491, 'job': 'Production Design', 'name': 'Stuart Craig'}]"
Batman v Superman: Dawn of Justice,"[{'cast_id': 18, 'character': 'Bruce Wayne / Batman', 'credit_id': '52fe4d5bc3a368484e1e4c65', 'gender': 2, 'id': 880, 'name': 'Ben Affleck', 'order': 0}, {'cast_id': 14, 'character': 'Clark Kent / Superman', 'credit_id': '52fe4d5bc3a368484e1e4c55', 'gender': 2, 'id': 73968, 'name': 'Henry Cavill', 'order': 1}, {'cast_id': 19, 'character': 'Diana Prince / Wonder Woman', 'credit_id': '52fe4d5bc3a368484e1e4c69', 'gender': 1, 'id': 90633, 'name': 'Gal Gadot', 'order': 2}]","[{'credit_id': '553bf23692514135c8002886', 'department': 'Sound', 'gender': 2, 'id': 947, 'job': 'Original Music Composer', 'name': 'Hans Zimmer'}, {'credit_id': '52fe4d5bc3a368484e1e4c2d', 'department': 'Production', 'gender': 0, 'id': 282, 'job': 'Producer', 'name': 'Charles Roven'}, {'credit_id': '553bf2ba925141125600a15d', 'department': 'Production', 'gender': 2, 'id': 525, 'job': 'Executive Producer', 'name': 'Christopher Nolan'}]"
